place_id,name,keyword,district,address,phone,website,rating,user_ratings_total,types,lat,lng,photo_1,photo_2,photo_3,num_reviews,review_summary,distance_from_center_km,nearby_places_count,district_encoded,district_place_count,popularity_score,engagement_rate,has_rating,rating_filled,is_highly_rated,has_reviews,has_review_text,types_list,num_types,is_establishment,is_point_of_interest,is_food,is_restaurant,is_store,is_lodging,is_shopping_mall,is_tourist_attraction,keyword_encoded,carbon_category,carbon_category_encoded,has_phone,has_website,connectivity_score,name_length,address_length,has_postal_code,review_summary_length,review_sentiment_positive,estimated_transport_carbon_kg,activity_carbon_score,visitor_carbon_factor,carbon_impact_score,has_carbon_offset_potential,lat_grid,lng_grid,location_cluster,cluster_size,tourism_score,carbon_credits_kg_co2
ChIJM9RHk8Wp1zARhsIsGNk4akY,PK.FARM Wiang Chi,ฟาร์ม,อำเภอเวียงชัย,"173หมู่ 13 บ้านชัยนิเวศน์ Tambon Wiang Chai, Amphoe Wiang Chai, Chang Wat Chiang Rai 57210, Thailand",096 895 3699,,5.0,1,"establishment, point_of_interest",19.8812595,99.9221083,เวียงชัย_PK_FARM_Wiang_Chi_0.jpg,,,1,,9.611991024675083,35,9,58,2.4158883083359672,1.0,1,5.0,1,1,0,"['establishment', 'point_of_interest']",2,1,1,0,0,0,0,0,0,6,medium,1,1,0,1,17,100,1,0,0,1.15343892296101,3,0.06931471805599453,1.5668260923051014,0,398.0,1998.0,398.0_1998.0,10,0.5386935021544965,4.4852078753244715
ChIJ7wNcGwCr1zARRvh7rngVMSQ,SarisaFarmChiangrai,ฟาร์ม,อำเภอเวียงชัย,"XXC9+96, Wiang Nuea, Wiang Chai District, Chiang Rai 57210, Thailand",,,5.0,1,"establishment, point_of_interest",19.970878,99.968039,เวียงชัย_SarisaFarmChiangrai_0.jpg,,,1,,15.653047306362915,11,9,58,2.4158883083359672,1.0,1,5.0,1,1,0,"['establishment', 'point_of_interest']",2,1,1,0,0,0,0,0,0,6,medium,1,0,0,0,19,68,1,0,0,1.8783656767635497,3,0.06931471805599453,1.7843041184458635,0,399.0,1999.0,399.0_1999.0,6,0.5386935021544965,4.871103605841417
ChIJMcVZRVOp1zAR4IgpfEu76aI,JC ORGANIC FARM,ฟาร์ม,อำเภอเวียงชัย,"42 หมู่ 2 ต Tambon Wiang Nuea, Amphoe Wiang Chai, Chang Wat Chiang Rai 57210, Thailand",087 788 7940,,5.0,1,"establishment, point_of_interest",19.9407692,99.9483153,เวียงชัย_JC_ORGANIC_FARM_0.jpg,เวียงชัย_JC_ORGANIC_FARM_1.jpg,,1,"Fast delivery, Chiang Rai-Bangkok, 3 days to receive the product, well packed, all trees are healthy.",12.419511342495769,14,9,58,2.4158883083359672,1.0,1,5.0,1,1,1,"['establishment', 'point_of_interest']",2,1,1,0,0,0,0,0,0,6,medium,1,1,0,1,15,86,1,101,0,1.4903413610994922,3,0.06931471805599453,1.667896823746646,0,399.0,1999.0,399.0_1999.0,6,0.5386935021544965,4.763476515233924
ChIJKRoWWfqv1zARvT-ISudLjq4,คุณหนึ่งฟาร์ม,ฟาร์ม,อำเภอเวียงชัย,"บ้านดงมะตื๋น Tambon Pha Ngam, Amphoe Wiang Chai, Chang Wat Chiang Rai 57210, Thailand",081 029 3154,https://www.facebook.com/%E0%B8%84%E0%B8%B8%E0%B8%93%E0%B8%AB%E0%B8%99%E0%B8%B6%E0%B9%88%E0%B8%87%E0%B8%9F%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%A1-105696594516920,4.5,2,"establishment, point_of_interest",19.9264525,100.0488394,เวียงชัย_ค_ณหน__งฟาร_ม_0.jpg,เวียงชัย_ค_ณหน__งฟาร_ม_1.jpg,เวียงชัย_ค_ณหน__งฟาร_ม_2.jpg,2,Next time I go home...I have to study.,23.18229883646786,15,9,58,2.4591673732008656,1.0,1,4.5,1,1,1,"['establishment', 'point_of_interest']",2,1,1,0,0,0,0,0,0,6,medium,1,1,1,2,13,85,1,38,0,2.781875860376143,3,0.10986122886681096,2.067521126772886,0,399.0,2001.0,399.0_2001.0,3,0.5411781058737051,7.553848029078284
ChIJ7yRuFNan1zARh7VSdFka2pA,ศรีมณเฑียรฟาร์ม,ฟาร์ม,อำเภอเวียงชัย,"VW6R+52X, Wiang Chai, Wiang Chai District, Chiang Rai 57210, Thailand",,,4.4,16,"establishment, food, point_of_interest",19.8604775,99.9401089,เวียงชัย_ศร_มณเฑ_ยรฟาร_ม_0.jpg,,,5,I want to buy fish and frog breeds. I've used this shop before and it's good.,12.362565730323228,29,9,58,3.1474918439852817,0.3125,1,4.4,0,1,1,"['establishment', 'food', 'point_of_interest']",3,1,1,1,0,0,0,0,0,6,medium,1,0,0,0,15,69,1,77,1,1.4835078876387873,3,0.2833213344056216,1.7300487666133229,0,397.0,1999.0,397.0_1999.0,14,0.5806940599607908,4.536148677259932
ChIJ4xd8wNGn1zARMEFdRJXTSwE,หนองหลวงฟาร์มปลา,ฟาร์ม,อำเภอเวียงชัย,"145 ม 6, Tambon Wiang Chai, Amphoe Wiang Chai, Chang Wat Chiang Rai 57210, Thailand",081 992 7488,,4.2,62,"establishment, point_of_interest, store",19.8514989,99.9395528,เวียงชัย_หนองหลวงฟาร_มปลา_0.jpg,เวียงชัย_หนองหลวงฟาร_มปลา_1.jpg,เวียงชัย_หนองหลวงฟาร_มปลา_2.jpg,5,"If you are into buying young fishes to release into the lake, you're at the right place. Reasonable price and elevate a platform to cultivate more fishes into their sanctuary: )",12.788041350900466,28,9,58,3.4604682586858764,0.08064516129032258,1,4.2,0,1,1,"['establishment', 'point_of_interest', 'store']",3,1,1,0,0,1,0,0,0,6,medium,1,1,0,1,16,83,1,177,0,1.534564962108056,3,0.41431347263915325,1.784663530424163,0,397.0,1999.0,397.0_1999.0,14,0.5986616931898627,4.865540684276886
ChIJ2TwH3B2v1zARHd12qel5FBk,BB Farm Orange Farm,ฟาร์ม,อำเภอเวียงชัย,"บ้านเนินสยาม, 209 ซอย 10/2, Tambon Pha Ngam, Amphoe Wiang Chai, Chang Wat Chiang Rai 57210, Thailand",088 142 0435,https://www.facebook.com/bbfarmorange,5.0,8,"establishment, food, point_of_interest",19.916226,100.062653,เวียงชัย_BB_Farm_Orange_Farm_0.jpg,เวียงชัย_BB_Farm_Orange_Farm_1.jpg,เวียงชัย_BB_Farm_Orange_Farm_2.jpg,5,"The view is beautiful, the air is cool and comfortable, and the atmosphere is perfect for camping. In the morning, we walked around the orange orchards, longan orchards, and many other kinds of fruit.",24.65607645074737,14,9,58,3.1966952139692824,0.625,1,5.0,1,1,1,"['establishment', 'food', 'point_of_interest']",3,1,1,1,0,0,0,0,0,6,medium,1,1,1,2,19,100,1,200,1,2.9587291740896844,3,0.21972245773362195,2.153535489546992,0,398.0,2001.0,398.0_2001.0,4,0.5835187715492105,7.424423997885764
ChIJwSEQkump1zARblijyJ5nH28,อนันตะฟาร์ม ณ เจียงฮาย,ฟาร์ม,อำเภอเวียงชัย,"XX22+GV9, Wiang Nuea, Wiang Chai District, Chiang Rai 57210, Thailand",081 796 5586,,4.6,23,"establishment, food, point_of_interest, restaurant",19.9512896,99.9522372,เวียงชัย_อน_นตะฟาร_ม_ณ_เจ_ยงฮาย_0.jpg,เวียงชัย_อน_นตะฟาร_ม_ณ_เจ_ยงฮาย_1.jpg,เวียงชัย_อน_นตะฟาร_ม_ณ_เจ_ยงฮาย_2.jpg,5,Really nice place to dine in. Surprise you when you saw the food. Delicious food and decorated nicely,13.192972646274356,13,9,58,3.3309439898728,0.21739130434782608,1,4.6,1,1,1,"['establishment', 'food', 'point_of_interest', 'restaurant']",4,1,1,1,1,0,0,0,0,6,medium,1,1,0,1,22,69,1,101,1,1.5831567175529226,3,0.31780538303479455,1.7702886301763154,0,399.0,1999.0,399.0_1999.0,6,0.5912258467586757,6.301137105411218
ChIJRzWAt9Sn1zARG3a4fp14bCc,ไร่สิริวัตร,ฟาร์ม,อำเภอเวียงชัย,"Wiang Chai, Wiang Chai District, Chiang Rai 57210, Thailand",091 823 0555,,4.6,7,"establishment, point_of_interest",19.856817,99.9458198,เวียงชัย_ไร_ส_ร_ว_ตร_0.jpg,เวียงชัย_ไร_ส_ร_ว_ตร_1.jpg,เวียงชัย_ไร_ส_ร_ว_ตร_2.jpg,5,Very delicious,13.111666001680115,27,9,58,3.0013603032723672,0.7142857142857143,1,4.6,1,1,1,"['establishment', 'point_of_interest']",2,1,1,0,0,0,0,0,0,6,medium,1,1,0,1,11,59,1,14,1,1.5733999202016138,3,0.20794415416798356,1.7344032223108794,0,397.0,1999.0,397.0_1999.0,14,0.5723048082363738,5.2471346740898746
ChIJb3oYUfSl1zARfHuJ_k1dWMI,สวนเห็ดห้าบ้านสันเจริญ,ฟาร์ม,อำเภอเวียงชัย,"Unnamed Road Tambon Don Sila, Amphoe Wiang Chai, Chang Wat Chiang Rai 57210, Thailand",081 123 2637,,5.0,2,"establishment, point_of_interest",19.8158746,100.0271085,เวียงชัย_สวนเห_ดห_าบ_านส_นเจร_ญ_0.jpg,เวียงชัย_สวนเห_ดห_าบ_านส_นเจร_ญ_1.jpg,เวียงชัย_สวนเห_ดห_าบ_านส_นเจร_ญ_2.jpg,2,"Beautiful garden, good quality mushrooms, Sufficient Mushroom Farm",23.214499476900087,9,9,58,2.659167373200866,1.0,1,5.0,1,1,1,"['establishment', 'point_of_interest']",2,1,1,0,0,0,0,0,0,6,medium,1,1,0,1,22,85,1,66,1,2.7857399372280103,3,0.10986122886681096,2.0686803498284463,0,396.0,2001.0,396.0_2001.0,2,0.5526598868547163,7.308566858402752
